iter	Passed	Remaining
0	6	6699
1	12	6426
2	19	6388
3	26	6592
4	32	6487
5	39	6472
6	44	6345
7	51	6389
8	57	6352
9	63	6312
10	69	6259
11	75	6227
12	81	6194
13	86	6125
14	92	6085
15	97	6024
16	103	5975
17	108	5922
18	113	5861
19	119	5845
20	125	5839
21	131	5829
22	136	5817
23	143	5817
24	148	5787
25	154	5789
26	160	5783
27	165	5746
28	171	5744
29	177	5740
30	183	5744
31	190	5754
32	195	5743
33	201	5730
34	207	5725
35	213	5725
36	219	5715
37	225	5713
38	231	5701
39	237	5708
40	244	5707
41	249	5696
42	255	5693
43	261	5673
44	266	5661
45	272	5642
46	277	5623
47	282	5604
48	288	5605
49	294	5588
50	299	5577
51	305	5565
52	310	5552
53	315	5535
54	321	5525
55	327	5519
56	332	5508
57	338	5495
58	344	5487
59	349	5471
60	354	5457
61	359	5445
62	365	5431
63	370	5423
64	376	5418
65	381	5404
66	387	5395
67	392	5386
68	398	5372
69	404	5370
70	411	5380
71	418	5391
72	425	5403
73	433	5423
74	440	5431
75	447	5439
76	453	5441
77	461	5452
78	468	5461
79	475	5468
80	484	5492
81	490	5495
82	497	5498
83	503	5495
84	511	5502
85	519	5526
86	527	5537
87	536	5559
88	544	5571
89	551	5575
90	558	5579
91	565	5579
92	572	5579
93	579	5583
94	586	5582
95	593	5587
96	600	5590
97	607	5591
98	614	5590
99	620	5587
100	627	5581
101	633	5573
102	639	5568
103	647	5574
104	654	5579
105	662	5587
106	669	5583
107	675	5579
108	681	5570
109	687	5560
110	692	5549
111	698	5539
112	704	5528
113	710	5519
114	715	5509
115	721	5501
116	727	5489
117	733	5483
118	739	5477
119	746	5470
120	751	5461
121	757	5450
122	762	5440
123	768	5426
124	773	5415
125	779	5404
126	784	5394
127	790	5383
128	795	5373
129	801	5361
130	806	5351
131	812	5342
132	818	5332
133	823	5320
134	828	5310
135	834	5298
136	839	5288
137	845	5278
138	850	5269
139	856	5261
140	862	5252
141	867	5243
142	873	5234
143	878	5224
144	884	5214
145	889	5204
146	895	5194
147	900	5185
148	906	5175
149	911	5167
150	917	5157
151	922	5148
152	928	5139
153	934	5131
154	939	5121
155	944	5109
156	950	5101
157	955	5090
158	960	5082
159	967	5077
160	973	5071
161	978	5063
162	984	5054
163	989	5045
164	995	5038
165	1000	5028
166	1006	5019
167	1011	5010
168	1017	5001
169	1023	4994
170	1028	4987
171	1035	4983
172	1041	4979
173	1047	4970
174	1052	4962
175	1058	4954
176	1065	4953
177	1071	4946
178	1077	4939
179	1082	4932
180	1088	4923
181	1093	4915
182	1098	4906
183	1104	4897
184	1110	4892
185	1116	4884
186	1121	4874
187	1126	4866
188	1132	4857
189	1137	4849
190	1142	4840
191	1148	4833
192	1154	4825
193	1159	4816
194	1165	4810
195	1171	4804
196	1177	4797
197	1182	4789
198	1187	4781
199	1192	4771
200	1198	4763
201	1203	4756
202	1209	4748
203	1214	4740
204	1220	4732
205	1225	4723
206	1231	4716
207	1236	4709
208	1242	4701
209	1248	4696
210	1253	4688
211	1259	4681
212	1265	4674
213	1270	4666
214	1277	4662
215	1282	4656
216	1289	4651
217	1295	4645
218	1301	4639
219	1307	4636
220	1314	4632
221	1321	4629
222	1327	4625
223	1333	4620
224	1339	4613
225	1345	4608
226	1352	4604
227	1358	4599
228	1364	4595
229	1371	4590
230	1377	4585
231	1383	4580
232	1389	4574
233	1395	4568
234	1401	4563
235	1408	4558
236	1414	4552
237	1420	4547
238	1426	4541
239	1432	4536
240	1438	4530
241	1444	4524
242	1450	4518
243	1456	4513
244	1462	4507
245	1468	4501
246	1475	4496
247	1481	4492
248	1487	4486
249	1492	4478
250	1499	4473
251	1505	4467
252	1511	4461
253	1516	4454
254	1522	4448
255	1528	4442
256	1534	4435
257	1540	4429
258	1545	4422
259	1551	4415
260	1556	4407
261	1562	4401
262	1569	4397
263	1574	4390
264	1580	4382
265	1585	4376
266	1592	4371
267	1598	4365
268	1603	4358
269	1609	4352
270	1615	4345
271	1621	4339
272	1627	4334
273	1633	4328
274	1639	4322
275	1645	4315
276	1650	4308
277	1656	4301
278	1661	4293
279	1666	4285
280	1672	4278
281	1677	4272
282	1683	4265
283	1689	4259
284	1695	4252
285	1700	4246
286	1706	4240
287	1711	4232
288	1717	4224
289	1722	4217
290	1728	4210
291	1733	4203
292	1738	4195
293	1744	4188
294	1749	4181
295	1754	4173
296	1760	4166
297	1765	4158
298	1770	4151
299	1775	4142
300	1781	4136
301	1786	4129
302	1791	4121
303	1797	4114
304	1802	4107
305	1807	4099
306	1813	4092
307	1818	4086
308	1823	4078
309	1829	4071
310	1835	4065
311	1840	4058
312	1846	4052
313	1851	4045
314	1857	4039
315	1863	4033
316	1868	4025
317	1874	4019
318	1879	4013
319	1884	4005
320	1890	3999
321	1897	3994
322	1902	3987
323	1907	3980
324	1913	3974
325	1918	3967
326	1924	3960
327	1930	3954
328	1935	3947
329	1940	3940
330	1946	3934
331	1952	3928
332	1958	3922
333	1963	3916
334	1969	3909
335	1975	3903
336	1980	3896
337	1985	3889
338	1991	3883
339	1997	3877
340	2002	3870
341	2008	3863
342	2013	3856
343	2019	3852
344	2025	3846
345	2032	3840
346	2037	3834
347	2042	3827
348	2048	3820
349	2053	3812
350	2058	3805
351	2063	3799
352	2069	3793
353	2075	3787
354	2080	3780
355	2085	3772
356	2091	3766
357	2097	3760
358	2102	3754
359	2108	3748
360	2113	3741
361	2119	3735
362	2124	3728
363	2130	3721
364	2136	3716
365	2141	3709
366	2146	3702
367	2151	3695
368	2157	3689
369	2163	3684
370	2169	3677
371	2176	3673
372	2181	3667
373	2188	3662
374	2194	3656
375	2201	3652
376	2207	3648
